출처,포함여부,분류,서비스,이슈,가격언급,제목,근거,URL
DC인사이드,포함,핵심 불편·문제,웨딩홀,가격·견적 정보,"15만원, 9만원","""요즘 축의금 15만원이나 내야 하나""…결혼식장 식대 얼마길래","""요즘 축의금 15만원이나 내야 하나""…결혼식장 식대 얼마길래 ""요즘 축의금 15만원이나 내야 하나""…결혼식장 식대 얼마길래 결갤러 (121.171) 2026.01.30 23:48:40 스크랩 조회 273 추천 0 댓글 0 ㄷㄷ ""요즘 축의금 15만원이나 내야 하나""…결혼식장 식대 얼마길래 서울 강남권 예식장의 1인당 식대가 9만원을 넘어…",https://gall.dcinside.com/board/view/?id=wedding&no=69752
DC인사이드,포함,핵심 불편·문제,스튜디오·촬영,예상 밖 추가비용,,11년전 나한테 소송당한 웨딩촬영 업체 살아있나ㅋㅋ,"11년전 나한테 소송당한 웨딩촬영 업체 살아있나ㅋㅋ 11년전 나한테 소송당한 웨딩촬영 업체 살아있나ㅋㅋ 모바일에서 작성 ㅇㅇ (211.245) 2026.03.10 02:58:55 스크랩 조회 121 추천 0 댓글 0 계약서에도 안적은거 추가금 받아내려고 액자랑 원본사진 안주다가 촬영비용전액, 앨범, 액자, 원본 싹다 주라고 판결받은 쓰레기…",https://gall.dcinside.com/board/view/?id=wedding&no=71764
DC인사이드,포함,핵심 불편·문제,,선택 피로·정보 부족,,결혼 준비하시는분들,등등 직접 막막함을 경험해보고 도움을 줄 수있는 앱이나 웹이 있었으면 좋겠다 라고 생각을 하다가 요즘시대에 아직도 웨딩 플래너를 직접 컨택해서 웨딩 준비를 하지?,https://gall.dcinside.com/board/view/?id=wedding&no=71908
DC인사이드,포함,핵심 불편·문제,,가격·견적 정보,,결혼식 비용 견적,결혼식 비용 견적 결혼식 비용 견적 결갤러 (182.220) 2026.03.20 16:38:49 스크랩 조회 355 추천 0 댓글 5 결혼식 비용 계산뽑아보고 있는데 어떤가요 많이 러프하게 잡았는데 더 아끼고 싶어서...,https://gall.dcinside.com/board/view/?id=wedding&no=72393
DC인사이드,포함,핵심 불편·문제,"웨딩홀, 드레스",가격·견적 정보,,결혼식 비용 아끼는 방법 떴다 국립공원 무료 웨딩,결혼식 비용 아끼는 방법 떴다 국립공원 무료 웨딩 결혼식 비용 아끼는 방법 떴다 국립공원 무료 웨딩 결갤러 (115.23) 2026.03.09 15:15:49 스크랩 조회 173 추천 0 댓글 0 신청 방법 체크! / 이번 사업은 청년 예비부부의 예식 비용 부담을 www.thetrippick.com 결혼식 비용 때문에 고민하는 예비부부들…,https://gall.dcinside.com/board/view/?id=wedding&no=71740
DC인사이드,포함,핵심 불편·문제,"웨딩홀, 스튜디오·촬영, 드레스, 메이크업, 플래너","예상 밖 추가비용, 가격·견적 정보, 계약·취소·환불, 제휴·수수료 구조","100만원, 30만원, 50만원",결혼식 싸게했다 팁 공유,집 대출때문에 로망은 없어서 난 가능했음 일단 최대한 비수기에 식장을 잡고 식장은 서울 말고 경기권 지방으로 잡을 것 12시 타임은 비싸니까 애매한 타임이 훨씬 싸고 토욜보다는 일욜이 조금더 싸다. / 웨딩플래너 안쓰고 그냥 직접 웨딩홀에 전화해서 상담 약속 잡고 방문해서 견적 물어보면 된다. / 비수기에 가면 할인도 많고 무료 시식도 준…,https://gall.dcinside.com/board/view/?id=wedding&no=70373
DC인사이드,포함,핵심 불편·문제,,계약·취소·환불,,결혼준비 어렵구만,결혼준비 어렵구만 결혼준비 어렵구만 결갤러 (125.181) 2026.02.07 09:49:23 스크랩 조회 329 추천 2 댓글 11 여친이랑 사귄지는 오래됐고 결혼도 그냥 자연스럽게 준비하게되었음 그러다보니 양가 결혼 허락도 뭐 없고 너네둘이 살아야지 뭐 이런식이라 그냥 얼굴뵙고 인사드리는 자리 가지게 되서 일단 여친네 어머님 뵙는 자…,https://gall.dcinside.com/board/view/?id=wedding&no=70216
DC인사이드,포함,핵심 불편·문제,스드메·패키지,가격·견적 정보,,결혼하는데 얼마정도들어?,결혼하는데 얼마정도들어? / 결혼하는데 얼마정도들어?,https://gall.dcinside.com/board/view/?id=wedding&no=78859
DC인사이드,포함,핵심 불편·문제,드레스,"계약·취소·환불, 선택 피로·정보 부족",,나 이번에 결혼하는데 황당해서 글쓴다,나 이번에 결혼하는데 황당해서 글쓴다 나 이번에 결혼하는데 황당해서 글쓴다 모바일에서 작성 결갤러 (39.117) 2026.06.06 19:45:46 스크랩 조회 222 추천 0 댓글 0 촬영다하고 본식드레스 촬영만 남았는데 갑자기 지들 폐업후 이름 바꾼다고 본식드레스 보는날을 지들 맘대로 날짜를 바꾼다는거임 그래서 약속 다 잡은 사람들…,https://gall.dcinside.com/board/view/?id=wedding&no=76882
DC인사이드,포함,핵심 불편·문제,예물·혼수,일정·예약 관리,,동화주얼리 웨딩밴드 삼담 및 계약 후기,작은 부분 하나까지 “대충” 넘어가지 않고 끝까지 꼼꼼하게 챙겨주시는 곳이라는 게 느껴졌어요. / 정성과 진심으로 상담해주시고 끝까지 세심하게 챙겨주신 동화주얼리 정말 감사합니다 ?,https://gall.dcinside.com/board/view/?id=wedding&no=76243
